H|AIS|BKK 009|0000|RO|BKK 009|KR|BKK 009|BKK 009|20030601|20030601|A000|THB||1111007840|103155.00|5300025742|2003|9200022156|2003|20030603|
H|AIS|BKK 009|0002|RO|101149|KR|BKK 009   /02|101149|20040601|20040601|A000|THB||1111007840|113484.00|5300027667|2004|9200021862|2004|20040601|4701428
H|AIS|BKK 009|0002|RO|101149|KR|BKK 009   /02|101149|20050601|20050601|A000|THB||1111007840|113484.00|5300030496|2005|9200026787|2005|20050601|
H|AIS|BKK 009|0002|RO|101149|KR|BKK 009   /02|101149|20060601|20060601|A000|THB||1111007840|113484.00|5300022293|2006|9200032088|2006|20060601|
H|AIS|BKK 010|0003|RO||KR|BKK 010   /03||20040701|20040701|A000|THB||1111008323|547515.00|5300038121|2004|9200029388|2004|20040708|4702265
H|AIS|BKK 010|0003|RO||KR|BKK 010   /03||20050701|20050701|A000|THB||1111008323|547515.00|5300036970|2005|9200033015|2005|20050704|5332873
H|AIS|BKK 010|0003|RO||KR|BKK 010   /03||20060701|20060701|A000|THB||1111008323|547515.00|5300026318|2006|9200042551|2006|20060703|5621534
H|AIS|BKK 012.1|0002|RO|101144|KR|BKK 012.1 /02|101144|20040807|20040807|A000|THB||1111008451|303600.00|5300045729|2004|9200036408|2004|20040816|4957253
H|AIS|BKK 012.1|0002|RO|101144|KR|BKK 012.1 /02|101144|20050807|20050807|A000|THB||1111008451|303600.00|5300043204|2005|9200039477|2005|20050807|2372683
H|AIS|BKK 012.1|0002|RO|101144|KR|BKK 012.1 /02|101144|20060807|20060807|A000|THB||1111008451|303600.00|5300031145|2006|9200053632|2006|20060807|2726876
H|AIS|BKK 012.1|0003|RO|101144|KR|BKK 012.1 /03|101144|20040101|20040907|A000|THB||1111008451|4200.00|5300051355|2004|9200040177|2004|20040909|2024466
H|AIS|BKK 012.1|0003|RO|101144|KR|BKK 012.1 /03|101144|20050501|20050501|A000|THB||1111008451|4200.00|5300032269|2005|9200026843|2005|20050601|2309063
H|AIS|BKK 012.1|0003|RO|101144|KR|BKK 012.1 /03|101144|20060101|20060101|A000|THB||1111008451|4200.00|5300000578|2006|9200010972|2006|20060224|2575885
H|AIS|BKK 014|0001|RO|101183|KR|BKK 014   /01|101183|20041026|20041026|A000|THB||1111013176|16000.00|5300058602|2004|9200046661|2004|20041026|4958729
H|AIS|BKK 014|0001|RO|101183|KR|BKK 014   /01|101183|20041126|20041126|A000|THB||1111013176|16000.00|5300063433|2004|9200051480|2004|20041126|
H|AIS|BKK 014|0001|RO|101183|KR|BKK 014   /01|101183|20041226|20041226|A000|THB||1111013176|16000.00|5300069384|2004|9200056260|2004|20041226|
H|AIS|BKK 014|0001|RO|101183|KR|BKK 014   /01|101183|20050126|20050126|A000|THB||1111013176|16000.00|5300001406|2005|9200002509|2005|20050126|
H|AIS|BKK 014|0001|RO|101183|KR|BKK 014   /01|101183|20050226|20050226|A000|THB||1111013176|16000.00|5300006554|2005|9200007711|2005|20050226|
